Market_name,Category_name,Product_name,Product_description,Product_price,Scrape_timestamp,Product_unit_type,Product_quantity,Product_branch
Pedidos Ya Lince,Abarrotes,Mermelada Fanny Fresa Doy Pack 227 G,,4.5,2024-12-04 02:14:48.975718,g,227.0,Fanny
Pedidos Ya Lince,Abarrotes,Barras De Cereal Con Mani Cereal Bar Costa 21Gr,"Barra de cereales (trigo, arroz, avena) con maní en trozos y en pasta.Con cobertura sabor a chocolate.Contenido: 12 unidades",11.94,2024-12-04 02:14:48.975718,g,21.0,Costa
Pedidos Ya Lince,Abarrotes,Barras De Cereal Almendra Cereal Bar Costa 21Gr,"Origen: Nacional Barra de cereales (trigo, arroz, avena) con almendra y trozos de maníContiene: 12 unidades",11.9,2024-12-04 02:14:48.975718,g,21.0,Costa
Pedidos Ya Lince,Abarrotes,Frijol Negro Costeño Bolsa 500 g,,8.0,2024-12-04 02:14:48.975718,g,500.0,Costeño
Pedidos Ya Lince,Abarrotes,Sopa Instantánea Sabor a Gallina Ajinomen Vaso 51 g,,3.8,2024-12-04 02:14:48.975718,g,51.0,Aji-No-Men
Pedidos Ya Lince,Abarrotes,Arroz Superior Costeño Bolsa 750G,,4.5,2024-12-04 02:14:48.975718,g,750.0,Costeño
Pedidos Ya Lince,Abarrotes,Leche Condensada Nestlé Lata 100G,,4.2,2024-12-04 02:14:48.975718,g,100.0,Nestle
Pedidos Ya Lince,Abarrotes,Pallar Costeño Bolsa 500 g,,8.2,2024-12-04 02:14:48.975718,g,500.0,Costeño
Pedidos Ya Lince,Abarrotes,Papa Seca Costeño 500gr,,8.5,2024-12-04 02:14:48.975718,g,500.0,Costeño
Pedidos Ya Lince,Abarrotes,Cereal Fitness Nestle Honey & Almond Cer 330G,"Contiene 330 gramos.Cereal para el desayuno a base de trigo integral, arroz, maíz, avena integral y almendras.Con sabor a miel.Sin azúcar añadida.Buena fuente de fibra",21.9,2024-12-04 02:14:48.975718,g,330.0,Nestle
Pedidos Ya Lince,Abarrotes,Pack 6 Atún Fanny Filete En Aceite Vegetal 140 g,,41.4,2024-12-04 02:14:48.975718,g,140.0,Fanny
Pedidos Ya Lince,Abarrotes,Piña En Rodajas Fanny 567Gr,,14.9,2024-12-04 02:14:48.975718,g,567.0,Fanny
Pedidos Ya Lince,Abarrotes,Costeño Azúcar Rubia 1kg,,6.9,2024-12-04 02:14:48.975718,kg,1.0,Costeño
Pedidos Ya Lince,Abarrotes,Lentejón Costeño Bolsa 500 g,,7.6,2024-12-04 02:14:48.975718,g,500.0,Costeño
Pedidos Ya Lince,Abarrotes,Sopa Instantánea Ajinomen Oriental 80gr,,2.1,2024-12-04 02:14:48.975718,g,80.0,Aji-No-Men
Pedidos Ya Lince,Abarrotes,Frijol Red Kidney Costeño 500gr,,8.9,2024-12-04 02:14:48.975718,g,500.0,Costeño
Pedidos Ya Lince,Abarrotes,Sazonador Costeño Pops sabor Queso 64g,,10.5,2024-12-04 02:14:48.975718,g,64.0,Costeño
Pedidos Ya Lince,Abarrotes,Harina de Arroz Costeño 1 g,,9.9,2024-12-04 02:14:48.975718,kg,1.0,Costeño
Pedidos Ya Lince,Abarrotes,Granola con Miel de Abeja Unión Doypack 400 g,,15.5,2024-12-04 02:14:48.975718,g,400.0,Union
Pedidos Ya Lince,Abarrotes,Azúcar Blanca Dulfina Bolsa 1 kg,,6.5,2024-12-04 02:14:48.975718,kg,1.0,Dulfina
Pedidos Ya Lince,Abarrotes,Sal de Mesa Marina Emsal Bolsa 1 kg,,2.9,2024-12-04 02:14:48.975718,kg,1.0,Emsal
Pedidos Ya Lince,Abarrotes,Sopa Instantanea Con Fideos Aji-No-Men Sabor Carne 80Gr,Contiene 80 gramos.Sopa instantánea con fideos.Sabor: Carne.Rinde 2 porciones,2.1,2024-12-04 02:14:48.975718,g,80.0,Aji-No-Men
Pedidos Ya Lince,Abarrotes,Fanny Mermelada Fresa Barril 950g,,15.0,2024-12-04 02:14:48.975718,g,950.0,Fanny
