categoria,description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
YOGUR MIXTO EN VASO,Yogurt SBELT Sabor a Vainilla Botella 946g,,946.0,g,6.29,plaza_vea,2024-12-04 13:40:45.769438,YOGUR MIXTO EN VASO,946.0,g,6.29,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Bebible LAIVE Bio Sabor a Mora Botella ...,,946.0,g,6.29,plaza_vea,2024-12-04 13:40:45.769438,YOGUR MIXTO EN VASO,946.0,g,6.29,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Bebible LAIVE Bio Sabor a Fresa Botella...,,946.0,g,6.29,plaza_vea,2024-12-04 13:40:45.769438,YOGUR MIXTO EN VASO,946.0,g,6.29,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt SBELT Sabor a Fresa Botella 946g,,946.0,g,6.29,plaza_vea,2024-12-04 13:40:45.769438,YOGUR MIXTO EN VASO,946.0,g,6.29,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt LAIVE sin Lactosa Sabor a Vainilla Bote...,,946.0,g,6.29,plaza_vea,2024-12-04 13:40:45.769438,YOGUR MIXTO EN VASO,946.0,g,6.29,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Bebible Laive Sbelt Sabor Lúcuma 946g,,946.0,g,6.3,wong,2024-12-04 19:13:58.878277,YOGUR MIXTO EN VASO,946.0,g,6.3,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Bebible Laive Sbelt Sabor Vainilla Francesa 946g,,946.0,g,6.3,wong,2024-12-04 19:13:58.878277,YOGUR MIXTO EN VASO,946.0,g,6.3,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Bebible Laive Sbelt Natural 946g,,946.0,g,6.3,wong,2024-12-04 19:13:58.878277,YOGUR MIXTO EN VASO,946.0,g,6.3,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Bebible Laive Sabor Mora 946g,,946.0,g,6.3,metro,2024-12-04 21:20:00.051296,YOGUR MIXTO EN VASO,946.0,g,6.3,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Bebible Laive Sbelt Sabor Vainilla Francesa 946g,,946.0,g,6.3,metro,2024-12-04 21:20:00.051296,YOGUR MIXTO EN VASO,946.0,g,6.3,YOGUR MIXTO EN VASO
