description,price,website,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
barra de cereal granola fit chocolate delisha,S/ 5.9 und,Oxxo,2024-12-04 13:49:36.256702,60.0,gr,barra de cereal granola fit chocolate delisha,5.9
cereal bar barra de chocolate,S/ 1.0 und,Oxxo,2024-12-04 13:49:36.256702,18.0,gr,cereal bar barra de chocolate,1.0
barra de frutos secos bitter y sal delisha,S/ 6.2 und,Oxxo,2024-12-04 13:49:36.256702,60.0,gr,barra de frutos secos bitter y sal delisha,6.2
barra de cereal mani mantequilla de mani dyfferent 35 g,S/ 3.2 und,Oxxo,2024-12-04 13:49:36.256702,35.0,gr,barra de cereal mani mantequilla de mani dyfferent,3.2
barra de cereal maní chocolate dyfferent 35 g,S/ 3.2 und,Oxxo,2024-12-04 13:49:36.256702,35.0,gr,barra de cereal maní chocolate dyfferent,3.2
crosoy barra de cereal mani,S/ 1.2 und,Oxxo,2024-12-04 13:49:36.256702,30.0,gr,crosoy barra de cereal mani,1.2
barra de cereal maní toffee dyfferent 35 g,S/ 3.2 und,Oxxo,2024-12-04 13:49:36.256702,35.0,gr,barra de cereal maní toffee dyfferent,3.2
crosoy barra de cereal ajonjoli,S/ 1.2 und,Oxxo,2024-12-04 13:49:36.256702,25.0,gr,crosoy barra de cereal ajonjoli,1.2
crosoy barra de cereal maní ajonjolí,S/ 1.2 und,Oxxo,2024-12-04 13:49:36.256702,25.0,gr,crosoy barra de cereal maní ajonjolí,1.2
quinoa bars barra  de quinoa con maní y chocolate,S/ 3.4 und,Oxxo,2024-12-04 13:49:36.256702,30.0,gr,quinoa bars barra de quinoa con maní y chocolate,3.4
vizzio tableta chocolate con leche crunch ,S/ 2.4 und,Oxxo,2024-12-04 13:49:36.256702,24.0,gr,vizzio tableta chocolate con leche crunch,2.4
crosoy barra de cereal ajonjolí y linaza,S/ 1.2 und,Oxxo,2024-12-04 13:49:36.256702,25.0,gr,crosoy barra de cereal ajonjolí y linaza,1.2
crosoy barra de cereal de ajonjolí y kiwicha,S/ 1.2 und,Oxxo,2024-12-04 13:49:36.256702,25.0,gr,crosoy barra de cereal de ajonjolí y kiwicha,1.2
 paleta de helado sublime duo  lucuma  ,S/ 3.7 und,Oxxo,2024-12-04 13:49:36.261703,80.0,ml,paleta de helado sublime duo lucuma,3.7
d'onofrio helado bombones,S/ 15.9 und,Oxxo,2024-12-04 13:49:36.261703,216.0,ml,donofrio helado bombones,15.9
d'onofrio frio rico helado de vainilla ,S/ 5.0 und,Oxxo,2024-12-04 13:49:36.261703,120.0,ml,donofrio frio rico helado de vainilla,5.0
d'ono sandwich helado crema sabor a vainilla,S/ 4.3 und,Oxxo,2024-12-04 13:49:36.261703,70.0,ml,dono sandwich helado crema sabor a vainilla,4.3
chispekas helado de crema con cobertura de chocolate y grageas,S/ 1.3 und,Oxxo,2024-12-04 13:49:36.261703,65.0,ml,chispekas helado de crema con cobertura de chocolate y grageas,1.3
artika paleta helada sabor a coco,S/ 1.6 und,Oxxo,2024-12-04 13:49:36.261703,60.0,ml,artika paleta helada sabor a coco,1.6
artika helado algarrobina,S/ 1.6 und,Oxxo,2024-12-04 13:49:36.261703,70.0,ml,artika helado algarrobina,1.6
cuchareable - brownie con manjar,S/ 5.9 und,Oxxo,2024-12-04 13:49:36.261703,1.0,und,cuchareable brownie con manjar,5.9
artika paleta de helado sabor ron con pasas,S/ 1.6 und,Oxxo,2024-12-04 13:49:36.261703,65.0,ml,artika paleta de helado sabor ron con pasas,1.6
frio rico helado sabor cappucino,S/ 5.0 und,Oxxo,2024-12-04 13:49:36.261703,120.0,ml,frio rico helado sabor cappucino,5.0
frio rico helado lúcuma,S/ 5.0 und,Oxxo,2024-12-04 13:49:36.261703,120.0,ml,frio rico helado lúcuma,5.0
artika paleta helada sabor fresa,S/ 1.5 und,Oxxo,2024-12-04 13:49:36.261703,1.0,und,artika paleta helada sabor fresa,1.5
artika paleta helada premium sabor café,S/ 1.6 und,Oxxo,2024-12-04 13:49:36.261703,76.0,gr,artika paleta helada premium sabor café,1.6
d'onofrio bombones de helado con crema de vainilla,S/ 5.8 und,Oxxo,2024-12-04 13:49:36.261703,72.0,gr,donofrio bombones de helado con crema de vainilla,5.8
lucuma paletas de crema,S/ 1.5 und,Oxxo,2024-12-04 13:49:36.262702,60.0,ml,lucuma paletas de crema,1.5
artika yanacha helado sabor a fresa y vainilla cubierto de chocolate,S/ 2.0 und,Oxxo,2024-12-04 13:49:36.262702,1.0,und,artika yanacha helado sabor a fresa y vainilla cubierto de chocolate,2.0
iglu hielo picado,S/ 4.9 und,Oxxo,2024-12-04 13:49:36.262702,1.5,kg,iglu hielo picado,4.9
filete de atun en aceite vegetal cristobal lt 140 g,S/ 4.9 und,Oxxo,2024-12-04 13:49:36.262702,1.0,und,filete de atun en aceite vegetal cristobal,4.9
ajinomen sopa instantánea gallina,S/ 2.2 und,Oxxo,2024-12-04 13:49:36.252704,80.0,gr,ajinomen sopa instantánea gallina,2.2
ajinomen sopa instantánea gallina picante,S/ 2.2 und,Oxxo,2024-12-04 13:49:36.252704,80.0,gr,ajinomen sopa instantánea gallina picante,2.2
cup noodles sopa instantánea sabor a pollo picante,S/ 5.9 und,Oxxo,2024-12-04 13:49:36.252704,68.0,gr,cup noodles sopa instantánea sabor a pollo picante,5.9
ajinomen sopa instantánea con fideos sabor a gallina picante,S/ 3.6 und,Oxxo,2024-12-04 13:49:36.252704,51.0,gr,ajinomen sopa instantánea con fideos sabor a gallina picante,3.6
ajinomen sopa carne - generic brand - 80 g,S/ 2.2 und,Oxxo,2024-12-04 13:49:36.252704,80.0,gr,ajinomen sopa carne generic brand,2.2
sopa instantánea ajinomen carne picante,S/ 3.6 und,Oxxo,2024-12-04 13:49:36.252704,51.0,gr,sopa instantánea ajinomen carne picante,3.6
ajinomen sopa instantánea con fideos sabor carne,S/ 3.6 und,Oxxo,2024-12-04 13:49:36.252704,51.0,gr,ajinomen sopa instantánea con fideos sabor carne,3.6
cup noodles sopa de pasta con sabor a queso cheddar,S/ 5.9 und,Oxxo,2024-12-04 13:49:36.252704,69.0,gr,cup noodles sopa de pasta con sabor a queso cheddar,5.9
ajinomen sopa pollo - generic brand - 80 g,S/ 2.2 und,Oxxo,2024-12-04 13:49:36.252704,80.0,gr,ajinomen sopa pollo generic brand,2.2
ajinomen sopa instantánea con fideos sabor gallina,S/ 3.6 und,Oxxo,2024-12-04 13:49:36.252704,51.0,gr,ajinomen sopa instantánea con fideos sabor gallina,3.6
ajinomen sopa instantánea de pollo,S/ 3.6 und,Oxxo,2024-12-04 13:49:36.252704,51.0,gr,ajinomen sopa instantánea de pollo,3.6
alacena crema de ají tarí,S/ 4.9 und,Oxxo,2024-12-04 13:49:36.252704,85.0,ml,alacena crema de ají tarí,4.9
maruchan sopa instantánea vaso carne,S/ 5.9 und,Oxxo,2024-12-04 13:49:36.252704,64.0,gr,maruchan sopa instantánea vaso carne,5.9
angel cereal copix sabor a chocolate con malvaviscos,S/ 3.2 und,Oxxo,2024-12-04 13:49:36.253703,120.0,gr,angel cereal copix sabor a chocolate con malvaviscos,3.2
angel cereal fresia almohadas rellenas sabor a fresa,S/ 3.2 und,Oxxo,2024-12-04 13:49:36.253703,110.0,gr,angel cereal fresia almohadas rellenas sabor a fresa,3.2
chocapic cereal con sabor a chocolate,S/ 4.7 und,Oxxo,2024-12-04 13:49:36.253703,90.0,gr,chocapic cereal con sabor a chocolate,4.7
flips cereal chocolate,S/ 13.1 und,Oxxo,2024-12-04 13:49:36.253703,120.0,gr,flips cereal chocolate,13.1
meli cereal con sabor a miel,S/ 3.2 und,Oxxo,2024-12-04 13:49:36.253703,135.0,gr,meli cereal con sabor a miel,3.2
flips cereal dulce de leche bolsa,S/ 13.1 und,Oxxo,2024-12-04 13:49:36.253703,120.0,gr,flips cereal dulce de leche,13.1
cereal flakes angel 130 g,S/ 3.2 und,Oxxo,2024-12-04 13:49:36.253703,130.0,gr,cereal flakes angel,3.2
angel cereal chock sabor a chocolate,S/ 3.2 und,Oxxo,2024-12-04 13:49:36.253703,170.0,gr,angel cereal chock sabor a chocolate,3.2
avena quaker tradicional,S/ 8.3 und,Oxxo,2024-12-04 13:49:36.253703,500.0,gr,avena quaker tradicional,8.3
chocapic cereal sabor a chocolate,S/ 19.9 und,Oxxo,2024-12-04 13:49:36.253703,350.0,gr,chocapic cereal sabor a chocolate,19.9
sweet bit avena 100g,S/ 5.0 und,Oxxo,2024-12-04 13:49:36.253703,100.0,gr,sweet bit avena,5.0
angel cereal copix sabor chocolate y masmelos ,S/ 1.2 und,Oxxo,2024-12-04 13:49:36.253703,18.0,gr,angel cereal copix sabor chocolate y masmelos,1.2
delisha fit barra de cereal,S/ 5.9 und,Oxxo,2024-12-04 13:49:36.253703,55.0,gr,delisha fit barra de cereal,5.9
dyfferent bowl de avena sabor a manzana y canela,S/ 5.5 und,Oxxo,2024-12-04 13:49:36.253703,65.0,gr,dyfferent bowl de avena sabor a manzana y canela,5.5
florida trozos de atún en aceite vegetal,S/ 6.3 und,Oxxo,2024-12-04 13:49:36.253703,150.0,gr,florida trozos de atún en aceite vegetal,6.3
florida filete de atún en aceite en vegetal ,S/ 6.7 und,Oxxo,2024-12-04 13:49:36.253703,140.0,gr,florida filete de atún en aceite en vegetal,6.7
primor trozos de atún en aceite,S/ 5.7 und,Oxxo,2024-12-04 13:49:36.253703,140.0,gr,primor trozos de atún en aceite,5.7
campomar trozos de atún en aceite vegetal,S/ 6.0 und,Oxxo,2024-12-04 13:49:36.253703,150.0,gr,campomar trozos de atún en aceite vegetal,6.0
arroz chaufa de pollo 280 g,S/ 9.9 und,Oxxo,2024-12-04 13:49:36.260703,280.0,gr,arroz chaufa de pollo,9.9
nadú lasagna con salsa bolognesa listo en 2 minutos,S/ 12.5 und,Oxxo,2024-12-04 13:49:36.260703,320.0,gr,nadú lasagna con salsa bolognesa listo en 2 minutos,12.5
